category,press,title,pub_date,url
일간지,아시아투데이,"아이들의 체육활동 책임진다…광진구, '핫둘핫둘서울 유아스포츠단' 운영",2023.03.30.,https://www.asiatoday.co.kr/view.php?key=20230330010017269
일간지,전국매일신문,"광진구, 편의점·부동산 등 222곳서 위기가구 발굴",2023.03.31.,https://www.jeonmae.co.kr/news/articleView.html?idxno=949071
일간지,신아일보,"광진구, 소기업과 소상공인에 최대 5천만원까지",2023.03.30.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1681376
일간지,한겨레,"광진구, 중장년 위한 면접 정장 대여비 할인사업 추진",2023.03.30.,http://www.seouland.com/arti/society/society_general/11868.html
일간지,문화일보,"광진구, 중장년 취준생 위한 ‘구민맞춤 취업옷장’ 운영",2023.03.29.,https://www.munhwa.com/news/view.html?no=2023032901039927163001
일간지,서울신문언론사 선정,“반갑다. 세로야”…주택가 뛰어다닌 얼룩말 ‘근황’,2023.03.31.,https://www.seoul.co.kr/news/newsView.php?id=20230331500010&wlog_tag3=naver
일간지,신아일보,"광진구의회, 주민자치협의회 신임 회장단과 만남 가져",2023.03.30.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1681725
일간지,전국매일신문,"광진구, 사업장 폐업·이전 '무연고 위험 간판' 철거",2023.03.29.,https://www.jeonmae.co.kr/news/articleView.html?idxno=948558
일간지,한겨레,"“아동친화도시 우리가 만든다”…광진구, 초‧중‧고생 대상 아동참여위원 모...",2023.03.29.,http://www.seouland.com/arti/society/society_general/11826.html
일간지,신아일보,"광진구의회, 2022회계연도 결산검사 위원 위촉",2023.03.27.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1679806
일간지,국민일보,‘우이천·망우리공원’…서울시가 추천하는 꽃길 가볼까,2023.03.31.,https://news.kmib.co.kr/article/view.asp?arcid=0018113243&code=61122011&cp=nv
일간지,신아일보,'거제시의회 방문단' 광진구의회 벤치마킹 방문,2023.03.29.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1681027
일간지,서울신문,"HD현대오일뱅크, 수소 밸류체인 구축 등 친환경 경영에 속도 낸다",2023.03.31.,https://www.seoul.co.kr/news/newsView.php?id=20230331500079&wlog_tag3=naver
일간지,문화일보언론사 선정,서울 광진구 어린이대공원서 탈출한 얼룩말 주택가·도로 활보…소방당국 “생...,2023.03.23.,https://www.munhwa.com/news/view.html?no=2023032301039910226010
일간지,매일일보,"SK에코플랜트, 에코 오픈 플랫폼 구축 위한 협업 확대",2023.03.31.,http://www.m-i.kr/news/articleView.html?idxno=1000933
일간지,세계일보언론사 선정,대낮 광진구 자양동 주택가에 얼룩말 1마리 활보… 서울어린이대공원서 탈출,2023.03.23.,http://www.segye.com/content/html/2023/03/23/20230323517035.html?OutUrl=naver
일간지,전국매일신문,"광진구의회, 결산검사 위원 4명 위촉…대표위원 고상순의원",2023.03.28.,https://www.jeonmae.co.kr/news/articleView.html?idxno=948397
일간지,내일신문,소상공인 지원 맞춤형으로,2023.03.31.,http://www.naeil.com/news_view/?id_art=456183
일간지,서울신문,청소년 일탈 막는 광진구…“룸카페 단속 이상無”,2023.03.24.,https://www.seoul.co.kr/news/newsView.php?id=20230324500071&wlog_tag3=naver
일간지,서울신문,"광진구의회, 광진에코리더봉사단 표창식… 간담회도 가져",2023.03.21.,https://www.seoul.co.kr/news/newsView.php?id=20230321500059&wlog_tag3=naver
일간지,서울신문,"박성연 서울시의원, ‘경찰·소방 현장 간담회’ 개최",2023.03.31.,https://www.seoul.co.kr/news/newsView.php?id=20230331500137&wlog_tag3=naver
일간지,전국매일신문,"광진구, 서울시 최초 장기요양요원 복지포인트 지급…연 최대 24만 원",2023.03.28.,https://www.jeonmae.co.kr/news/articleView.html?idxno=948301
일간지,전국매일신문,"광진구 ""구민대상 후보자 추천해주세요""",2023.03.23.,https://www.jeonmae.co.kr/news/articleView.html?idxno=947459
일간지,아시아투데이,"광진구, 봄맞이 어린이집·경로당 집중 방역 개시",2023.03.21.,https://www.asiatoday.co.kr/view.php?key=20230321010011324
일간지,아시아투데이,"집에서 자동차 조작…코오롱글로벌, '홈투카 서비스' 본격 적용",2023.03.29.,https://www.asiatoday.co.kr/view.php?key=20230329010016206
일간지,전국매일신문,"광진구, '서울시 안심이 앱' 서비스 지원…""안심귀가 OK!""",2023.03.24.,https://www.jeonmae.co.kr/news/articleView.html?idxno=947710
일간지,전국매일신문,"광진구, 부동산공시가격 열람·의견청취",2023.03.22.,https://www.jeonmae.co.kr/news/articleView.html?idxno=947177
일간지,한겨레,"광진구, 봄맞이 어린이집과 경로당 방역소독 실시",2023.03.23.,http://www.seouland.com/arti/society/society_general/11793.html
일간지,동아일보언론사 선정,탈출 이유 있었다…세 살배기 얼룩말 세로의 슬픈 사연(영상),2023.03.24.,https://www.donga.com/news/Society/article/all/20230324/118499355/2
일간지,천지일보,"세종대-광진구, 50+ 대학생활 관학협력 업무 협약 체결",2023.03.16.,https://www.newscj.com/news/articleView.html?idxno=3009644
일간지,국민일보언론사 선정,"서울 누빈 얼룩말, 탈출 3시간만 다시 동물원行 [영상]",2023.03.24.,https://news.kmib.co.kr/article/view.asp?arcid=0018086265&code=61121211&cp=nv
일간지,전국매일신문,"광진구, 하이브리드 자동차 취득세 최대 40만 원 환급",2023.03.21.,https://www.jeonmae.co.kr/news/articleView.html?idxno=946950
일간지,중앙일보언론사 선정,캥거루와 싸우고 급기야 탈출까지...듣고보니 짠한 '반항馬 세로',2023.03.23.,https://www.joongang.co.kr/article/25149573
일간지,동아일보언론사 선정,대낮 서울 주택가에 웬 얼룩말?…어린이대공원서 탈출,2023.03.23.,https://www.donga.com/news/Society/article/all/20230323/118487716/2
일간지,국민일보언론사 선정,"‘동물원 탈출’ 2살 얼룩말, 짧은여행 끝 잠든 채 집으로",2023.03.23.,https://news.kmib.co.kr/article/view.asp?arcid=0018085806&code=61121111&cp=nv
일간지,문화일보,"광진구, ‘찾아가는 우리동네 동물훈련사’…반려동물 행동교정",2023.03.23.,https://www.munhwa.com/news/view.html?no=2023032301039927163002
일간지,중앙일보언론사 선정,"""어디선가 본듯한 힙함이다""…탈출 얼룩말 '세로' 패러디 화제",2023.03.25.,https://www.joongang.co.kr/article/25149996
일간지,중앙일보언론사 선정,아빠 여읜뒤 '반항기'...'슬픈 4살' 얼룩말 세로에 여친 붙여준다,2023.03.24.,https://www.joongang.co.kr/article/25149813
일간지,한국일보,“얼룩말 세로 ‘삐져’ ‘반항’은 잘못… 동물 탓하지 마라”,2023.03.28.,https://hankookilbo.com/News/Read/A2023032809420003804?did=NA
일간지,세계일보,[단독] ‘김동연호’ 핵심 기관장 서초·마포·용산에 고액 부동산 보유…평균...,2023.03.28.,http://www.segye.com/content/html/2023/03/28/20230328523737.html?OutUrl=naver
일간지,내일신문,"세종대 미래교육원-광진구, 업무 협약 체결",2023.03.20.,http://www.naeil.com/news_view/?id_art=454707
일간지,세계일보언론사 선정,서울어린이대공원 탈출했던 얼룩말 근황 “당근 간식 거부하며 시무룩” [영상...,2023.03.27.,http://www.segye.com/content/html/2023/03/27/20230327515049.html?OutUrl=naver
일간지,서울신문언론사 선정,“난생 처음 울타리없는 세상 달린 ‘세로’”…동물원 어떻게 생각하세요?[이...,2023.03.26.,https://www.seoul.co.kr/news/newsView.php?id=20230326500119&wlog_tag3=naver
일간지,경향신문언론사 선정,탈출 얼룩말 3시간 ‘자유의 질주’ 끝내고 집으로,2023.03.23.,https://www.khan.co.kr/national/national-general/article/202303231704011
일간지,한겨레,"“우리 동네로 온다고요?”…광진구, 찾아가는 일자리센터 운영",2023.03.17.,http://www.seouland.com/arti/society/society_general/11720.html
일간지,서울신문,"박성연 서울시의원, 어린이대공원 정비·시니어파크 조성 현장 점검",2023.03.30.,https://www.seoul.co.kr/news/newsView.php?id=20230330500092&wlog_tag3=naver
일간지,신아일보,청소년 일탈 막는 광진구…룸카페 단속 이상 無,2023.03.26.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1679060
일간지,문화일보,"광진구, ‘도시양봉학교’ 운영…도시농업체험 기회 제공",2023.03.20.,https://www.munhwa.com/news/view.html?no=2023032001039927163001
일간지,세계일보언론사 선정,서울어린이대공원 탈출했던 얼룩말... “부모 잃은 외로움에 반항 부쩍 심해져...,2023.03.25.,http://www.segye.com/content/html/2023/03/24/20230324511264.html?OutUrl=naver
일간지,중앙일보언론사 선정,"""자전거 타다 얼룩말 봤는데""…조현병 소리 들은 목격담 반전",2023.03.24.,https://www.joongang.co.kr/article/25149869
일간지,동아일보언론사 선정,엄마가 그리웠을까 아님 여친이? 얼룩말 ‘세로’의 짧은 봄외출…일주일 사진...,2023.03.26.,https://www.donga.com/news/Society/article/all/20230326/118521234/1
일간지,신아일보,"광진구, ‘담장허물기 주차장’ 조성 지원",2023.03.19.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1675503
일간지,서울신문,어린이대공원에 노년층 위한 ‘시니어파크’ 생긴다,2023.03.24.,https://www.seoul.co.kr/news/newsView.php?id=20230324500164&wlog_tag3=naver
일간지,전국매일신문,"광진구, 2050 탄소중립 속도낸다… 온실가스 40% 감축",2023.03.16.,https://www.jeonmae.co.kr/news/articleView.html?idxno=946130
일간지,경향신문,인기 많은 원숭이[경향포토],2023.03.26.,https://www.khan.co.kr/national/national-general/article/202303261629001
일간지,신아일보,아동 목소리에 경청하는 광진…아이들과 정책 만든다,2023.03.28.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1680185
일간지,한국일보,서울 '빛의 시어터' 클림트 전시 연장 운영,2023.03.28.,https://hankookilbo.com/News/Read/A2023032810140001006?did=NA
일간지,경향신문언론사 선정,‘부모 잃은 얼룩말’의 귀여운 소동?…스토리 말고 ‘사육 환경’ 봐주세요,2023.03.27.,https://www.khan.co.kr/national/national-general/article/202303270600005
일간지,아시아투데이,"광진구, 어린이보호구역 안전 강화 총력",2023.03.15.,https://www.asiatoday.co.kr/view.php?key=20230315010008154
일간지,전국매일신문,"광진구, 옥탑방·고시원 1113가구 상세주소 부여",2023.03.14.,https://www.jeonmae.co.kr/news/articleView.html?idxno=945604
일간지,경향신문,얼룩말 세로는 안정을 취하는 중[경향포토],2023.03.26.,https://www.khan.co.kr/national/national-general/article/202303261620001
일간지,문화일보,광진구 ‘투명페트병→ 종량제봉투’ 교환 사업,2023.03.22.,https://www.munhwa.com/news/view.html?no=2023032201070927163001
일간지,서울신문,“엄마들 걱정 싸악~” 학교 앞 소통 나선 광진[현장 행정],2023.03.28.,https://www.seoul.co.kr/news/newsView.php?id=20230328012004&wlog_tag3=naver
일간지,동아일보,차도 활보하는 얼룩말,2023.03.24.,https://www.donga.com/news/Society/article/all/20230323/118494820/1
일간지,신아일보,"광진구의회, 제260회 임시회 폐회",2023.03.15.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1674178
일간지,동아일보,"서울 광진구, 옥탑방-고시원에 ‘상세 주소’ 부여",2023.03.15.,https://www.donga.com/news/Society/article/all/20230314/118332667/1
일간지,문화일보,"광진구, 자동차세 체납 챠량 대상 ‘번호판 야간 영치’ 진행",2023.03.08.,https://www.munhwa.com/news/view.html?no=2023030801039927163003
일간지,세계일보언론사 선정,술집에서 동창생 머리 맥주병 내려친 50대 남성 체포… 경찰 “단순 주취폭행...,2023.03.20.,http://www.segye.com/content/html/2023/03/20/20230320507281.html?OutUrl=naver
일간지,문화일보,나눔의 광진구…‘희망온돌 따뜻한 겨울나기’ 16억300만원 모금[서울인사이드...,2023.03.14.,https://www.munhwa.com/news/view.html?no=2023031401032627163001
일간지,신아일보,"광진구의회, 현장방문으로 지역 현안 점검",2023.03.13.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1672955
일간지,한겨레,"광진구 “현장중심 행정, 동 주민센터가 실현합니다”",2023.03.09.,http://www.seouland.com/arti/society/society_general/11595.html
일간지,국민일보,엔믹스 미니 1집 ‘엑스페르고’ 발매 “연결과 변화 담았다”,2023.03.21.,https://news.kmib.co.kr/article/view.asp?arcid=0924292706&code=13180000&cp=nv
일간지,한국일보,"엔믹스 해원, '탈퇴' 지니 언급에 꺼낸 속내",2023.03.20.,https://hankookilbo.com/News/Read/A2023032016410003882?did=NA
일간지,국민일보,"한국연습장협회, 기술 개발자 대거 영입키로…올 총회서 채택",2023.03.22.,https://news.kmib.co.kr/article/view.asp?arcid=0018078329&code=61161511&cp=nv
일간지,아시아투데이,"광진구, 취약계층 반려동물 의료비 지원…최대 40만원 상당",2023.03.01.,https://www.asiatoday.co.kr/view.php?key=20230301010000101
일간지,문화일보,"광진구, 만 60세∼64세 임플란트 시술 비용 지원...서울시 최초",2023.03.03.,https://www.munhwa.com/news/view.html?no=2023030301039927163001
일간지,신아일보,"광진구, 성공적인 취업 향해 전격 나서다",2023.03.13.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1673056
일간지,서울신문,세계 물의 날… 활짝 핀 군자란,2023.03.23.,https://www.seoul.co.kr/news/newsView.php?id=20230323012014&wlog_tag3=naver
일간지,매일일보,"서울시선관위, 2023년 공정선거지원단 모집",2023.03.28.,http://www.m-i.kr/news/articleView.html?idxno=999857
일간지,신아일보,"박강산 시의원, “얼룩말이 왜 거기서 나와… 단순 해프닝 아니다”",2023.03.24.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1678794
일간지,전국매일신문,"광진구, 따뜻한 겨울나기 16억 300만원 모금",2023.03.07.,https://www.jeonmae.co.kr/news/articleView.html?idxno=944288
일간지,한국일보,"대중성 잡은 엔믹스, '4세대 걸그룹 혈전' 등판 [종합]",2023.03.20.,https://hankookilbo.com/News/Read/A2023032015390001241?did=NA
일간지,신아일보,"광진구, 직장인 위한 고혈압‧당뇨병 교육 운영",2023.03.12.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1672383
일간지,전국매일신문,"광진구 돌봄SOS센터, 취약계층 '주거 편의서비스' 지원",2023.03.10.,https://www.jeonmae.co.kr/news/articleView.html?idxno=945072
일간지,한겨레,"광진구, 현장 중심의 ‘동 지역책임제’ 시행",2023.03.09.,http://www.seouland.com/arti/society/society_general/11627.html
일간지,서울신문,"전병주 서울시의원, ‘신성전통시장’ 찾아 시장 발전방향 청취",2023.03.27.,https://www.seoul.co.kr/news/newsView.php?id=20230327500049&wlog_tag3=naver
일간지,신아일보,"광진구, 올해 도로명주소 건물번호판 1600여 개에 ‘QR코드’ 도입",2023.03.09.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1671617
일간지,전국매일신문,"광진구, 튀르키예 지진피해 구호금 1만 달러 전달",2023.03.06.,https://www.jeonmae.co.kr/news/articleView.html?idxno=944019
일간지,한겨레,"광진구, 개명신고 1일 처리제 시행",2023.03.03.,http://www.seouland.com/arti/society/society_general/11558.html
일간지,신아일보,"광진구의회, 제28주년 개원기념식 개최",2023.03.05.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1669498
일간지,세계일보,[포토] 엔믹스 '시크한 손하트',2023.03.20.,http://www.segye.com/content/html/2023/03/20/20230320513109.html?OutUrl=naver
일간지,세계일보,[포토] 엔믹스 '카리스마 눈빛',2023.03.20.,http://www.segye.com/content/html/2023/03/20/20230320515823.html?OutUrl=naver
일간지,신아일보,"SK오션플랜트-코리오, '해상풍력 사업' 합심",2023.03.17.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1675348
일간지,세계일보,[포토] 엔믹스 규진 '상큼 발랄',2023.03.20.,http://www.segye.com/content/html/2023/03/20/20230320515095.html?OutUrl=naver
