press,title,pub_date,url
스포츠월드,"[SW포토]비비지,'다양한 모습 보여 드리고파!'",2023.01.31.,http://www.sportsworldi.com/newsView/20230131514515
아시아경제,김경호 광진구청장 취약계층 공공요금 지원 추경 편성,2023.01.28.,https://view.asiae.co.kr/article/2023012808075490851
OSEN,"[사진]비비지 은하,'긴 머리로 이미지 변신'",2023.01.31.,http://www.osen.co.kr/article/G1112033443
YTN,"[Y현장] VIVIZ(비비지) 은하 ""긴머리로 이미지 변신...카리스마 봐주셨으면""",2023.01.31.,https://star.ytn.co.kr/_sn/0117_202301311638549702
스포츠동아,"여자친구 이젠 정말 안녕…20대 중반 비비지, 성숙미 물씬 ‘풀업’ (종합)[D...",2023.01.31.,https://sports.donga.com/article/all/20230131/117676944/1
일간스포츠,"비비지 은하 “긴 머리 도전, 카리스마 보여드리고 싶었다”",2023.01.31.,https://isplus.com/article/view/isp202301310145
S-저널,"광진구, 구청장이 직접 보고하는 '동 신년 사업보고회' 개최",2023.01.31.,https://www.s-journal.co.kr/news/articleView.html?idxno=14362
국제뉴스,"광진구, 복지상담 전담 '원스톱 복지콜센터' 운영",2023.01.25.,https://www.gukjenews.com/news/articleView.html?idxno=2641509
국제뉴스,"[GJ포토] VIVIZ(비비지), '완전 예쁜 여신 3인방'",2023.01.31.,https://www.gukjenews.com/news/articleView.html?idxno=2645435
국제뉴스,"[GJ포토] 비비지 신비, '존재감 뽐내는 미모'",2023.01.31.,https://www.gukjenews.com/news/articleView.html?idxno=2645530
국제뉴스,"[GJ포토] 비비지 신비, '돋보이는 신곡 무대'",2023.01.31.,https://www.gukjenews.com/news/articleView.html?idxno=2645538
국제뉴스,"[GJ포토] 비비지 신비, ''베리어스 대박나라!'",2023.01.31.,https://www.gukjenews.com/news/articleView.html?idxno=2645536
뉴스1,광진구 원스톱 복지콜센터 운영…위기가구 신속 지원한다,2023.01.25.,https://www.news1.kr/articles/4933211
뉴스1,"'컴백' 비비지 "" 신곡 '풀 업', 중독적이고 귀 사로잡는 곡"" [N현장]",2023.01.31.,https://www.news1.kr/articles/4939149
아시아경제언론사 선정,오늘부터 실내 마스크 착용 의무 해제…학교·학원은 여전히 ‘혼란’,2023.01.30.,https://view.asiae.co.kr/article/2023013010233105690
티브이데일리,[TD포토+] 비비지 은하 '눈 뗄 수 없는 아름다움',2023.01.31.,http://www.tvdaily.co.kr/read.php3?aid=16751501981666406017
서울와이어,"[포토] 비비지, ""저희 무대 기대해주세요""",2023.01.31.,http://www.seoulwire.com/news/articleView.html?idxno=493176
서울와이어,"[포토] 비비지, 6개월 만에 'VarioUS'로 컴백",2023.01.31.,http://www.seoulwire.com/news/articleView.html?idxno=493175
뉴시스,수업시간 마스크 착용은 자율,2023.01.30.,http://www.newsis.com/view/?id=NISI20230130_0019726170
뉴시스,수업시간 마스크 착용은 자율,2023.01.30.,http://www.newsis.com/view/?id=NISI20230130_0019726183
뉴시스,수업시간 마스크 착용은 자율,2023.01.30.,http://www.newsis.com/view/?id=NISI20230130_0019726184
뉴시스,수업시간 마스크 착용은 자율,2023.01.30.,http://www.newsis.com/view/?id=NISI20230130_0019726173
뉴시스,수업시간 마스크 착용은 자율,2023.01.30.,http://www.newsis.com/view/?id=NISI20230130_0019726172
연합뉴스,"비비지, 미니음반 '베리어스'(VarioUS) 발매 기념 쇼케이스",2023.01.31.,https://www.yna.co.kr/view/PYH20230131186600005?input=1196m
연합뉴스,"비비지, 미니음반 '베리어스'(VarioUS) 발매 기념 쇼케이스",2023.01.31.,https://www.yna.co.kr/view/PYH20230131186700005?input=1196m
위키트리,“8주년 여자친구 재결합?”... 비비지 “'VarioUS'는 다양한 색깔 담은 앨범...,2023.01.31.,https://www.wikitree.co.kr/articles/827432
조이뉴스24,"비비지 ""여자친구 연장선 아냐…재결합 조심스러워""",2023.01.31.,http://www.joynews24.com/view/1562627
서울경제,"""남 신경 쓰지 마""…비비지, 여자친구 넘어 8년 내공 담은 카리스마(종합) [S...",2023.01.31.,https://www.sedaily.com/NewsView/29KOU0Q443
스포츠동아,"비비지, 포인트 안무로 [포토]",2023.01.31.,https://sports.donga.com/article/all/20230131/117676437/1
CBC뉴스,"[포토씨] 비비지(VIVIZ), 시크한 카리스마 ('VarioUS' 쇼케이스)",2023.01.31.,http://www.cbci.co.kr/news/articleView.html?idxno=437886
엑스포츠뉴스,"'컴백' 비비지, 청순돌 지운 '풀 업'…블랙 시크+카리스마 장착 [종합]",2023.01.31.,https://www.xportsnews.com/article/1682763
OSEN,"“올해 목표=비비지 이름 각인” 비비지, 다채로운 매력으로 컴백 (종합)[Oh!...",2023.01.31.,http://www.osen.co.kr/article/G1112033478
스포츠투데이,"'데뷔 1년' 비비지 ""비지한 활동으로 이름 석자 각인시킬 것"" [종합]",2023.01.31.,http://www.stoo.com/article.php?aid=85170478678
한겨레언론사 선정,마스크 벗은 초2 “처음 본 친구 표정^^ 부끄럽고 기분 좋아”,2023.01.30.,https://www.hani.co.kr/arti/society/schooling/1077519.html
이데일리,"[포토]비비지, 완벽한 안무",2023.01.31.,http://starin.edaily.co.kr/news/newspath.asp?newsid=01351366635483296
전국매일신문,"광진구, 수의사 2명 이상 동물병원 진료비용 게시 의무화",2023.01.27.,https://www.jeonmae.co.kr/news/articleView.html?idxno=936963
일간스포츠,[포토] 비비지 '발랄한 미녀 삼총사',2023.01.31.,https://isplus.com/article/view/isp202301310157
이데일리,"[포토]비비지, 완벽한 호흡",2023.01.31.,http://starin.edaily.co.kr/news/newspath.asp?newsid=01338246635483296
MBC연예,"[포토] 비비지 은하, 하얀 나비",2023.01.31.,http://enews.imbc.com/News/RetrieveNewsInfo/372178
이데일리,[포토]마스크 벗고 수업듣는 학생,2023.01.30.,http://www.edaily.co.kr/news/newspath.asp?newsid=02305846635482968
이데일리,[포토]실내 마스크 의무 착용 해제,2023.01.30.,http://www.edaily.co.kr/news/newspath.asp?newsid=02417366635482968
이데일리,"[포토]비비지, 가릴 수 없는 미모",2023.01.31.,http://starin.edaily.co.kr/news/newspath.asp?newsid=01348086635483296
세계일보,[포토] 비비지 신비 '화려한 손짓',2023.01.31.,http://www.segye.com/content/html/2023/01/31/20230131513746.html?OutUrl=naver
이데일리,"[포토]엄지, 비비지 막내의 미모",2023.01.31.,http://starin.edaily.co.kr/news/newspath.asp?newsid=01374326635483296
세계일보,[포토] 비비지 은하 '완벽한 미모',2023.01.31.,http://www.segye.com/content/html/2023/01/31/20230131514123.html?OutUrl=naver
이데일리,"[포토]비비지, 흐트럼 없는 안무",2023.01.31.,http://starin.edaily.co.kr/news/newspath.asp?newsid=01341526635483296
이데일리,"[포토]비비지, 중독성 강한 '풀 업'",2023.01.31.,http://starin.edaily.co.kr/news/newspath.asp?newsid=01318566635483296
이데일리,[포토]베리어스로 돌아온 비비지,2023.01.31.,http://starin.edaily.co.kr/news/newspath.asp?newsid=01295606635483296
세계일보,[포토] 비비지 '오늘 컴백했어요!',2023.01.31.,http://www.segye.com/content/html/2023/01/31/20230131512667.html?OutUrl=naver
세계일보,[포토] 비비지 엄지 '물오른 미모',2023.01.31.,http://www.segye.com/content/html/2023/01/31/20230131514245.html?OutUrl=naver
세계일보,[포토] 비비지 은하 '하트 여신',2023.01.31.,http://www.segye.com/content/html/2023/01/31/20230131514438.html?OutUrl=naver
스포츠동아,비비지 컴백 소감 “새로운 모습 보여드릴 수 있어 좋아”,2023.01.31.,https://sports.donga.com/article/all/20230131/117676002/1
세계일보,[포토] 비비지 '사랑스런 꽃받침',2023.01.31.,http://www.segye.com/content/html/2023/01/31/20230131514584.html?OutUrl=naver
세계일보,[포토] 비비지 '깜찍한 브이 포즈',2023.01.31.,http://www.segye.com/content/html/2023/01/31/20230131514547.html?OutUrl=naver
서울신문,"광진, 에너지 약자 위해 1억 5800만원 추경 편성",2023.01.30.,https://www.seoul.co.kr/news/newsView.php?id=20230130010004&wlog_tag3=naver
이투데이,[포토] '마스크 벗고 대화하는 학생들',2023.01.30.,https://www.etoday.co.kr/news/view/2216706
헤럴드POP,"[포토]은하, 예쁜 볼하트",2023.01.31.,http://biz.heraldcorp.com/view.php?ud=202301311621512846209_1
헤럴드POP,"[포토]은하, 비비지의 V",2023.01.31.,http://biz.heraldcorp.com/view.php?ud=202301311623412869187_1
서울경제,"비비지 엄지, 도도한 고양이 눈빛 [SE★포토]",2023.01.31.,https://www.sedaily.com/NewsView/29KOTD8C3B
오마이뉴스,"[오마이포토] 'VIVIZ' 신비, 도도한 시크 카리스마",2023.01.31.,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002898929&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
TBS,"서울 광진구, 자립준비청년 임차료·정착금 추가 지원",2023.01.26.,http://tbs.seoul.kr/news/newsView.do?typ_800=7&idx_800=3488328&seq_800=20481035
뉴시스,수업시간 마스크 착용은 자율,2023.01.30.,http://www.newsis.com/view/?id=NISI20230130_0019726087
국제뉴스,"광진구, 동물병원 10곳에 진료비 게시 의무화 시행",2023.01.27.,https://www.gukjenews.com/news/articleView.html?idxno=2643040
파이낸셜뉴스언론사 선정,실내 마스크 의무 착용 해제,2023.01.30.,http://www.fnnews.com/news/202301301030126796
YTN,"[Y현장] VIVIZ(비비지) ""여자친구 재결합? 조심스러워...언젠가 다시 모일 것...",2023.01.31.,https://star.ytn.co.kr/_sn/0117_202301311650511809
열린뉴스통신,"광진구, '군자동 신년 사업보고회' 개최…15개 동 일정 이어나가",2023.01.30.,https://www.onews.tv/news/articleView.html?idxno=152709
머니S,"[머니S포토] 비비지 신비, 계묘년 컴백 당찬 손인사",2023.01.31.,http://moneys.mt.co.kr/news/mwView.php?no=2023013117524368197
뉴스1,광진구 찜질방 건물 지하서 화재… 120명 대피 소동,2023.01.23.,https://www.news1.kr/articles/4932179
TBS,"서울 광진구, 자립준비청년 임차료·정착금 추가 지원",2023.01.26.,http://tbs.seoul.kr/news/newsView.do?typ_800=7&idx_800=3488328&seq_800=20481035
뉴시스,실내 마스크 의무 착용 자율,2023.01.30.,http://www.newsis.com/view/?id=NISI20230130_0019726095
국제뉴스,"광진구, 동물병원 10곳에 진료비 게시 의무화 시행",2023.01.27.,https://www.gukjenews.com/news/articleView.html?idxno=2643040
파이낸셜뉴스언론사 선정,실내 마스크 의무 착용 해제,2023.01.30.,http://www.fnnews.com/news/202301301030126796
YTN,"[Y현장] VIVIZ(비비지) ""여자친구 재결합? 조심스러워...언젠가 다시 모일 것...",2023.01.31.,https://star.ytn.co.kr/_sn/0117_202301311650511809
열린뉴스통신,"광진구, '군자동 신년 사업보고회' 개최…15개 동 일정 이어나가",2023.01.30.,https://www.onews.tv/news/articleView.html?idxno=152709
머니S,"[머니S포토] 비비지 신비, 계묘년 컴백 당찬 손인사",2023.01.31.,http://moneys.mt.co.kr/news/mwView.php?no=2023013117524368197
서울경제,"비비지 신비·은하, 투은비의 완벽한 합 [SE★포토]",2023.01.31.,https://www.sedaily.com/NewsView/29KOTIKXJE
뉴스1,광진구 찜질방 건물 지하서 화재… 120명 대피 소동,2023.01.23.,https://www.news1.kr/articles/4932179
국민일보언론사 선정,“35만원하던 가스요금이 70만원! 장사 너무 힘들어요”,2023.01.31.,https://news.kmib.co.kr/article/view.asp?arcid=0017914215&code=61141611&cp=nv
서울신문,광진구 “안심하고 반려동물 치료하세요”,2023.01.27.,https://www.seoul.co.kr/news/newsView.php?id=20230127500055&wlog_tag3=naver
뉴스1,광진구 찜질방 건물 지하서 화재… 120명 대피 소동,2023.01.23.,https://www.news1.kr/articles/4932179
뉴시스,학교 수업시간 마스크 착용은 자율,2023.01.30.,http://www.newsis.com/view/?id=NISI20230130_0019726075
국민일보언론사 선정,“35만원하던 가스요금이 70만원! 장사 너무 힘들어요”,2023.01.31.,https://news.kmib.co.kr/article/view.asp?arcid=0017914215&code=61141611&cp=nv
MBC연예,"[포토] 비비지 엄지-신비-은하, '풀 업' 미모",2023.01.31.,http://enews.imbc.com/News/RetrieveNewsInfo/372169
이데일리,"[포토]신비, 비비지 리더의 미모",2023.01.31.,http://starin.edaily.co.kr/news/newspath.asp?newsid=01371046635483296
MBC연예,"""여자친구 재결합?"" 묻자 비비지 엄지·신비·은하가 내놓은 답",2023.01.31.,http://enews.imbc.com/News/RetrieveNewsInfo/372180
엑스포츠뉴스,비비지(VIVIZ) 은하 'So Special' 쇼케이스 무대[엑's 영상],2023.01.31.,https://www.xportsnews.com/article/1682883
머니S,"[머니S포토] 돌아온 비비지, 8년차 아이돌 치명적 성숙美",2023.01.31.,http://moneys.mt.co.kr/news/mwView.php?no=2023013117232694072
서울경제,"비비지 엄지, 여기서 제일 예쁜 사람이 누구야? [SE★포토]",2023.01.31.,https://www.sedaily.com/NewsView/29KOTQBS5S
머니S,"[머니S포토] 비비지, 다양한 매력담은 미니3집 베리어스",2023.01.31.,http://moneys.mt.co.kr/news/mwView.php?no=2023013117290784002
텐아시아,"비비지 ""우리는 여자친구 연장선 아냐, 여자친구 재결합은 아직""",2023.01.31.,https://tenasia.hankyung.com/music/article/2023013151794
서울경제,"비비지 엄지, 여기서 제일 예쁜 사람이 누구야? [SE★포토]",2023.01.31.,https://www.sedaily.com/NewsView/29KOTQBS5S
스포츠월드,[SW포토]비비지 컴백 쇼케이스,2023.01.31.,http://www.sportsworldi.com/newsView/20230131514249
